EventId,InvestigationType,AccidentNumber,EventDate,Location,Country,Latitude,Longitude,AirportCode,AirportName,InjurySeverity,AircraftDamage,AircraftCategory,RegistrationNumber,Make,Model,AmateurBuilt,NumberOfEngines,EngineType,FARDescription,Schedule,PurposeOfFlight,AirCarrier,TotalFatalInjuries,TotalSeriousInjuries,TotalMinorInjuries,TotalUninjured,WeatherCondition,BroadPhaseOfFlight,ReportStatus,PublicationDate,
20140309X30405,Accident,WPR14FA132,03/09/2014,"Carson City, NV",United States,39.098055,119.665000,,,Fatal(1),Destroyed,Airplane,N76856,CESSNA,120,,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,,,Preliminary,03/17/2014,
20140304X52659,Accident,WPR14FA127,03/03/2014,"Truckee, CA",United States,39.328611,-120.201667,KTRK,Truckee-Tahoe,Fatal(1),Substantial,Airplane,N9281F,PIPER,PA 46 350P,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,1,,,VMC,,Preliminary,03/11/2014,
20140301X53654,Accident,ERA14FA138,03/01/2014,"Lumberport, WV",United States,39.423889,-80.446389,,N/A,Fatal(1),Destroyed,Airplane,N7203E,BEECH,F33A,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,03/06/2014,
20140227X53145,Accident,WPR14FA124,02/26/2014,"Lanai City, HI",United States,20.773056,-156.944444,LNY,LANAI,Fatal(3),Substantial,Airplane,N483VA,PIPER,PA 31-350,No,2,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,,Maui Island Air (DBA: Maui Island Air),3,3,,,VMC,,Preliminary,03/11/2014,
20140223X25847,Accident,WPR14LA119,02/23/2014,"Maricopa, AZ",United States,32.987777,-111.918056,A39,Ak-Chin Regional Airport,Fatal(1),Substantial,Airplane,N7745C,SABRENA,DRAGONFLY,,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,03/01/2014,
20140222X51922,Accident,ERA14FA128,02/22/2014,"LaGrange, GA",United States,33.005278,-85.070278,LGC,LaGrange-Callaway Airport,Fatal(3),Destroyed,Airplane,N36638,BEECH,95 B55 (T42A),No,,,Part 91: General Aviation,,Instructional,,3,,,,VMC,,Preliminary,02/27/2014,
20140224X00624,Accident,CEN14LA148,02/22/2014,"Tribune, KS",United States,,,,,Fatal(1),Substantial,Airplane,N7872,VANS,RV-9A,Yes,,,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,03/04/2014,
20140219X30611,Accident,CEN14FA145,02/19/2014,"Pearland, TX",United States,,,,,Fatal(1),Destroyed,Airplane,N811BL,BEECH,B100,No,,Turbo Prop,Part 91: General Aviation,,Personal,,1,,,,,,Preliminary,02/26/2014,
20140218X21224,Accident,CEN14FA143,02/18/2014,"Breckenridge, TX",United States,32.696944,-98.882500,BKD,STEPHENS COUNTY,Fatal(1),Destroyed,Airplane,N13HP,HAWKER,SEA FURY ISS 25,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,1,,,,VMC,,Preliminary,03/04/2014,
20140217X70404,Accident,ERA14FA123,02/17/2014,"Wellington, FL",United States,26.646389,80.294166,FD38,Wellington Aero Club,Fatal(1),Destroyed,Airplane,N732SX,WILLIAMS CHRISTOPHER T,SONEX,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,02/24/2014,
